MCC,Название,Группа
5542,Автоматизированные бензозаправки,Автомобили и транспортные средства
5551,Продажа лодок,Автомобили и транспортные средства
5561,"Дома- автоприцепы, жилые неразборные и грузовые прицепы",Автомобили и транспортные средства
5571,Продажа мотоциклов,Автомобили и транспортные средства
5592,Продажа домов на колесах,Автомобили и транспортные средства
5598,Продажа снегоходов,Автомобили и транспортные средства
5599,"Продажа различного рода автомобилей, авиа- и с/х оборудования - нигде более не классифицированные",Автомобили и транспортные средства
5611,"Мужская одежда и аксессуары, включая одежду для мальчиков",Магазины одежды
5621,Готовая женская одежда,Магазины одежды
5631,Аксессуары для женщин,Магазины одежды
5641,"Детская одежда, включая одежду для самых маленьких",Магазины одежды
5651,Одежда для всей семьи,Магазины одежды
5655,"Спортивная одежда, одежда для верховой езды и езды на мотоцикле",Магазины одежды
5661,Обувные магазины,Магазины одежды
5681,Изготовление и продажа меховых изделий,Магазины одежды
5691,Магазины мужской и женской одежды,Магазины одежды
5697,"Услуги по переделке, починке и пошиву одежды",Магазины одежды
5698,Парики и накладки из искусственных волос,Магазины одежды
5699,Различные магазины одежды и аксессуаров,Магазины одежды
5712,"Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)",Различные магазины
5713,Покрытия для пола,Различные магазины
5714,"Ткани, обивочный материал, гардины и портьеры, жалюзи",Различные магазины
5715,Оптовые продавцы алкоголя,Оптовые поставщики и производители
5718,"Продажа каминов, экранов для каминов и аксессуаров",Различные магазины
5719,Различные специализированные магазины бытовых принадлежностей,Различные магазины
5722,Бытовое оборудование,Различные магазины
5732,Продажа электронного оборудования,Различные магазины
5733,"Продажа музыкальных инструментов, фортепиано, нот.",Различные магазины
5734,Продажа компьютерного программного обеспечения,Различные магазины
5735,Магазины звукозаписи,Различные магазины
5811,Поставщики провизии,Поставщик услуг
5812,"Места общественного питания, рестораны",Различные магазины
5813,"Бары, коктейль-бары, дискотеки, ночные клубы и таверны – места продажи алкогольных напитков",Различные магазины
5814,Фастфуд,Различные магазины
5815,"Цифровые товары - аудиовизуальные медиа, включая книги, фильмы и музыку",Различные магазины
5816,Цифровые товары – игры,Различные магазины
5817,Цифровые товары - приложения (кроме игр),Различные магазины
5818,Цифровые товары - мультикатегория,Различные магазины
5912,Аптеки,Различные магазины
5921,Магазины с продажей спиртных напитков навынос,Различные магазины
5931,"Секонд-хенды, магазины б/у товаров, комиссионки",Различные магазины
5932,"Антикварные магазины – продажа, ремонт и услуги реставрации",Различные магазины
5933,Ломбарды,Различные магазины
5935,Уничтожение и сбор остатков,Различные магазины
5937,Магазины репродукций и антиквариата,Различные магазины
5940,Веломагазины – продажа и обслуживание,Различные магазины
5941,Спорттовары,Различные магазины
5942,Книжные магазины,Различные магазины
5943,"Магазины офисных, школьных принадлежностей, канцтоваров",Различные магазины
5944,"Часы, ювелирные и серебряные изделия",Различные магазины
5945,"Игрушки, игры и хобби-товары",Различные магазины
5946,Магазины фотооборудования и фотоприборов,Различные магазины
5947,"Магазины открыток, подарков, новинок и сувениров",Различные магазины
5948,"Магазины кожаных изделий, дорожных принадлежностей",Различные магазины
5949,"Магазины ткани, ниток, рукоделия, шитья",Различные магазины
5950,Магазины хрусталя и изделий из стекла,Различные магазины
5960,Прямой маркетинг – страховые услуги,Продажи по почте/телефону
5961,"Заказы по почте, включая заказы по каталогу",Продажи по почте/телефону
5962,"Прямой маркетинг – услуги, относящиеся к туризму",Продажи по почте/телефону
